F;10;0;5;50;0.0207039337;5.5939512839;0.1158167968
Q;5;10;6;30;0.0103519669;6.5939512839;0.0682603653
G;3;110;7;21;0.0062111801;7.3309168781;0.0455336452
K;0;1110000;11;0;0;0;0
W;0;1110001;11;0;0;0;0
X;0;111001;10;0;0;0;0
Y;1;11101;9;9;0.0020703934;8.9158793788;0.0184593776
B;3;1111;8;24;0.0062111801;7.3309168781;0.0455336452
M;12;10;5;60;0.0248447205;5.3309168781;0.1324451398
V;12;11;5;60;0.0248447205;5.3309168781;0.1324451398
R;24;10;4;96;0.049689441;4.3309168781;0.2152008387
O;25;11;4;100;0.0517598344;4.2720231891;0.2211192127
A;50;10;3;150;0.1035196687;3.2720231891;0.3387187566
C;13;1100;5;65;0.0269151139;5.2154396607;0.1403741524
D;13;1101;5;65;0.0269151139;5.2154396607;0.1403741524
P;14;1110;5;70;0.0289855072;5.1085244568;0.1480731727
H;7;11110;6;42;0.0144927536;6.1085244568;0.08852934
Z;4;111110;7;28;0.0082815735;6.9158793788;0.0572743634
J;5;111111;7;35;0.0103519669;6.5939512839;0.0682603653
L;30;1000;4;120;0.0621118012;4.0089887832;0.2490055145
N;31;1001;4;124;0.0641821946;3.9616830684;0.2542695137
S;32;1010;4;128;0.066252588;3.9158793788;0.2594371431
I;38;1011;4;152;0.0786749482;3.6679518654;0.2885759232
E;71;110;3;213;0.1469979296;2.7661322593;0.4066157151
T;39;1110;4;156;0.0807453416;3.63047716;0.2931441185
U;41;1111;4;164;0.0848861284;3.5583273742;0.3020526343
;483;483;5.7692307692;1962;;;
;;2415;;;;;
;;;;;;;
;;;;;;;
;;;;;4.029519026;;
